country,type,year,amount
Lithuania,Import,2018,10701.26
Lithuania,Export,2018,10125.67
Lithuania,Import,2019,14544.91
Lithuania,Export,2019,14808.07
Lithuania,Import,2020,11483.74
Lithuania,Export,2020,13243.5
Lithuania,Import,2021,9412.28
Lithuania,Export,2021,14616.31
Lithuania,Import,2022,13401.13
Lithuania,Export,2022,14318.58
Lithuania,Import,2023,14858.77
Lithuania,Export,2023,14368.19
Luxembourg,Import,2013,4229
Luxembourg,Export,2013,126
Luxembourg,Import,2014,5064.8
Luxembourg,Export,2014,128.47
Luxembourg,Import,2015,4821.7
Luxembourg,Export,2015,148.94
Luxembourg,Import,2016,5139.33
Luxembourg,Export,2016,173.01
Luxembourg,Import,2017,5973.59
Luxembourg,Export,2017,219.48
Luxembourg,Import,2018,7428.57
Luxembourg,Export,2018,217.67
Luxembourg,Import,2019,8286.86
Luxembourg,Export,2019,416.21
Luxembourg,Import,2020,9249.74
Luxembourg,Export,2020,756.57
Luxembourg,Import,2021,8707.54
Luxembourg,Export,2021,649.5
Luxembourg,Import,2022,12022.73
Luxembourg,Export,2022,1100.82
Luxembourg,Import,2023,14678.47
Luxembourg,Export,2023,828.17
Malta,Import,2013,237
Malta,Export,2013,0
Malta,Import,2014,340.6
Malta,Import,2015,435.1
Malta,Import,2016,430.46
Malta,Import,2017,467.26
Malta,Import,2018,552.33
Malta,Import,2019,515.52
Malta,Import,2020,446.71
Malta,Import,2021,527.4
Malta,Import,2022,539.67
Malta,Import,2023,837.31
Netherlands ,Import,2013,210441
Netherlands ,Export,2013,470149
Netherlands ,Import,2014,263648.28
Netherlands ,Export,2014,448650.95
Netherlands ,Import,2015,201946.3
Netherlands ,Export,2015,425569.89
Netherlands ,Import,2016,190318.53
Netherlands ,Export,2016,349726.48
Netherlands ,Import,2017,223305.56
Netherlands ,Export,2017,405894.86
Netherlands ,Import,2018,242546.88
Netherlands ,Export,2018,453019.61
Netherlands ,Import,2019,265858.87
Netherlands ,Export,2019,389909.3
Netherlands ,Export,2020,415325.99
Netherlands ,Import,2021,252148.54
Netherlands ,Export,2021,351223.64
Netherlands ,Import,2022,393020.62
Netherlands ,Export,2022,237632.14
Netherlands ,Import,2023,252109.08
Netherlands ,Export,2023,442949.93
Poland,Import,2013,18353
Poland,Export,2013,213561
Poland,Import,2014,22233.1
Poland,Export,2014,204936.27
Poland,Import,2015,15981.5
Poland,Export,2015,233749.89
Poland,Import,2016,18031.75
Poland,Export,2016,234567.27
Poland,Import,2017,14805.06
Poland,Export,2017,264576.49
Poland,Import,2018,11866.35
Poland,Export,2018,203493.02
Poland,Import,2019,9123.06
Poland,Export,2019,215626.2
Poland,Import,2020,10629.08
Poland,Export,2020,198041.32
Poland,Import,2021,26913.39
Poland,Export,2021,147746.15
Poland,Import,2022,18704.66
Poland,Export,2022,226948.58
Poland,Import,2023,28029.24
Poland,Export,2023,219752.04
Portugal,Import,2013,7335
Portugal,Export,2013,12161
Portugal,Import,2014,6194.1
Portugal,Export,2014,18532.79
Portugal,Import,2015,8680.83
Portugal,Export,2015,17921.48
Portugal,Import,2016,5986.45
Portugal,Export,2016,20798.74
Portugal,Import,2017,5506.6
Portugal,Export,2017,17448.75
Portugal,Import,2018,6603.97
Portugal,Export,2018,12772.84
Portugal,Import,2019,8267.62
Portugal,Export,2019,15236.85
Portugal,Import,2020,5372.12
Portugal,Export,2020,18330.18
Portugal,Import,2021,8509.5
Portugal,Export,2021,18012.29
Portugal,Import,2022,6951.63
Portugal,Export,2022,14451.05
Portugal,Import,2023,9135.35
Portugal,Export,2023,11921.93
Romania,Import,2013,9174
Romania,Export,2013,14270
Romania,Import,2014,9262.8
Romania,Export,2014,6949.8
Romania,Import,2015,11389.02
Romania,Export,2015,11182.9
Romania,Import,2016,11092.7
Romania,Export,2016,7225.22
Romania,Import,2017,10841.84
Romania,Export,2017,10526.46
Romania,Import,2018,7723.77
Romania,Export,2018,12571.91
Romania,Import,2019,11721.32
Romania,Export,2019,14547.51
Romania,Import,2020,14743.31
Romania,Export,2020,12397.58
Romania,Import,2021,14586.74
Romania,Export,2021,13273.07
Romania,Import,2022,12601.66
Romania,Export,2022,22326.21
Romania,Import,2023,10596.92
Romania,Export,2023,27364.15
Slovakia,Import,2013,6500
Slovakia,Export,2013,6901
Slovakia,Import,2014,3302.04
Slovakia,Export,2014,9292.6
Slovakia,Import,2015,3521.56
Slovakia,Export,2015,11649.9
Slovakia,Import,2016,2559.35
Slovakia,Export,2016,9559.89
Slovakia,Import,2017,3840.93
Slovakia,Export,2017,7354.4
Slovakia,Import,2018,3236.51
Slovakia,Export,2018,8602.93
Slovakia,Import,2019,4649.51
Slovakia,Export,2019,8414.95
Slovakia,Import,2020,9104.47
Slovakia,Export,2020,6462.17
Slovakia,Import,2021,9714.73
Slovakia,Export,2021,9114.94
Slovakia,Import,2022,6282.98
Slovakia,Export,2022,10435.39
Slovakia,Import,2023,8618.14
Slovakia,Export,2023,10327.67
Slovenia,Import,2013,2040
Slovenia,Export,2013,1379
Slovenia,Import,2014,1932.75
Slovenia,Export,2014,1708.84
Slovenia,Import,2015,1279.62
Slovenia,Export,2015,1659.7
Slovenia,Import,2016,989.57
Slovenia,Export,2016,2096.02
Slovenia,Import,2017,1047.6
Slovenia,Export,2017,1750.32
Slovenia,Import,2018,829.65
Slovenia,Export,2018,1960.66
Slovenia,Import,2019,665.24
Slovenia,Export,2019,1880.33
Slovenia,Import,2020,687.17
Slovenia,Export,2020,1661.99
Slovenia,Import,2021,879.16
Slovenia,Export,2021,2658.28
Slovenia,Import,2022,817.41
Slovenia,Export,2022,2456.63
Slovenia,Import,2023,898.7
Slovenia,Export,2023,1585.57
Spain,Import,2013,8146
Spain,Export,2013,59006
Spain,Import,2014,6618.9
Spain,Export,2014,59653.81
Spain,Import,2015,6942.41
Spain,Export,2015,89782
Spain,Import,2016,7831.58
Spain,Export,2016,77375.41
Spain,Import,2017,6283.75
Spain,Export,2017,97402.92
Spain,Import,2018,13823.14
Spain,Export,2018,108485.43
Spain,Import,2019,9520.19
Spain,Export,2019,117627.8
Spain,Import,2020,9156.16
Spain,Export,2020,124324.87
Spain,Import,2021,10172.36
Spain,Export,2021,123743.22
Spain,Import,2022,9686.58
Spain,Export,2022,92487.14
Spain,Import,2023,12257.23
Spain,Export,2023,80362.21
Sweden,Import,2013,2222
Sweden,Export,2013,6033
Sweden,Import,2014,5762.26
Sweden,Export,2014,4993.21
Sweden,Import,2015,3445.25
Sweden,Export,2015,5301.66
Sweden,Import,2016,3288.88
Sweden,Export,2016,5757.11
Sweden,Import,2017,3066.95
Sweden,Export,2017,5159.97
Sweden,Import,2018,4534.39
Sweden,Export,2018,6007.18
Sweden,Import,2019,3423.01
Sweden,Export,2019,4606.94
Sweden,Import,2020,4773.67
Sweden,Export,2020,13393.32
Sweden,Import,2021,7369.66
Sweden,Export,2021,4664.93
Sweden,Import,2022,3477.64
Sweden,Export,2022,19612.57
Sweden,Import,2023,7029.72
Sweden,Export,2023,13605.7
